web-scraper-order,web-scraper-start-url,links,links-href,title,salary,Description,Location,Applicant_Count,Skills,Company_name,Employmenttype,Pages
1739842989-43,https://www.linkedin.com/jobs/search/?currentJobId=4153130378&distance=25.0&geoId=103644278&keywords=Fine%20Artist&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,"Part Time Studio Artist 
    
    

Part Time Studio Artist with verification",https://www.linkedin.com/jobs/view/4146784357/?eBP=CwEAAAGVFqqlSuYeHuWOtk5PqesWiDy8MM-wtEfNegtjwK67y1aKE4FZr-jumnqcJm2dBWeVu5DZhfBGUb9VjZHJkHE9xGFX9Oli42dZFy47KbJUMYYG2uagt8deKqk09UYFvHHd86ouC59dbWwAf4-OjWifJmsr-j9EXHcL_YSrQbj7nlJ1elh40laFbhTmK83pN8Vkl5P13nibGlkoQqYBzSnvY_w_WnBvqzxtZEBrVq6J3594dY_19toG-usWI8umL-9ysU18WENeTUytxAVmm7gfwGZJNz4v5OFJoaqw631MBonGRlcqn7Lb4ItJ6ZLFFcdDelhm9F_0UuWooUGUmGd1xW3gdAFS6TQ2g5Z7ow7PGhfBdmVb2YmHUFXxe_EC7ta7rNZSc2mz7cYkCrn1RIRjNJwfVevvGTHlMxfoa3kWqnK5OHTKamz9io34VQR0GLriOWAj4aRJPyQ4LKGPvmzlLhPkPTOBq8GSOZeAvJ6f00EHDNuFiSAwUKNZ29k&refId=Wrm2e9NJrlIW%2FqbgqG%2BHnw%3D%3D&trackingId=Gt8NJ1x6V9tdS2htOue67A%3D%3D&trk=flagship3_search_srp_jobs,Part Time Studio Artist,$16/hr,"Merlin Entertainments is hiring a Part Time Studio Artist in Orlando, FL. Required skills: Skills: Painting, Acrylic Painting. This is a On-site role. 29 people clicked apply. Salary: $16/hr.","Orlando, FL",29 people clicked apply,"Skills: Painting, Acrylic Painting",Merlin Entertainments,On-site,
1739843009-44,https://www.linkedin.com/jobs/search/?currentJobId=4153130378&distance=25.0&geoId=103644278&keywords=Fine%20Artist&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,UI artistUI artist,https://www.linkedin.com/jobs/view/4156684288/?eBP=CwEAAAGVFqqlSkQcLWZ24ZtyyKlERJCFhYxVkVX2Zb9rxadl7OWO_mb_qUFJbwy3bkDi0d6WHzxriIxZ3fhAvp18JzjFnUcZMJ85QX2SFJgS5HSjyhO2Ppcd9AY086Ye6rClsCId0WZjZuVpqKolrVgKCCj_pdYPHteQmBjZpLYLBAhHaw1i4TKCVzLh0UmbVuUOyK1G_fGqaVvus22TIof9w3rSbfSY2lC4WamjREFCac5mp0TcAYj10mVrD9zJ6HQMaQwEbUxRBEn1rD2Unt-9eQO-Bfvux0sSXSzAgzLZm27i1t1b5j4bkAUXQAichgc1S7RY-LdeGIfrZIH1yQCuu-oib3mkXpUjn_rMRtxWbseA97DqW7by7VH4aC_yruj8fiAElsYyZlNhyKQGXavLv2SSeekyzRNfB1ZfiEZVnSURHK15aH0aEd_GqO15iDti9gBFIsBVNk7NWkkJncE25mUrmd9bL_YNKSngftLEUB4X91M4sfSvkQPNBHfCZQAs8Whz&refId=Wrm2e9NJrlIW%2FqbgqG%2BHnw%3D%3D&trackingId=J864v7b7EWa0pulPsd5yjw%3D%3D&trk=flagship3_search_srp_jobs,UI artist,$65/hr,"Aviary Productions is hiring a UI artist in United States. Required skills: Skills: Game Development, User Interface Design. This is a Volunteer role. 1 applicant. Salary: $65/hr.",United States,1 applicant,"Skills: Game Development, User Interface Design",Aviary Productions,Volunteer,
1739843029-45,https://www.linkedin.com/jobs/search/?currentJobId=4153130378&distance=25.0&geoId=103644278&keywords=Fine%20Artist&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,"Anthropologie Display Artist - Full-Time 
    
    

Anthropologie Display Artist - Full-Time with verification",https://www.linkedin.com/jobs/view/4118680749/?eBP=CwEAAAGVFqqlSYVeFw7me6-iJdO-puHf5QbSDUWtv7dEE1CMQ_vfLcRmxSC-UUijn7Jkp-w3_67ldpTotPeca2xM8e2N1TwJC66Y2ELgLOI7wMl53zSx6xX-UC4kp6mbWJWzmhGzB0JtwIRnDfKy6MQjlls5MIVd9UHT1x0s7C64Be1zTtmgulIHOhCOYIVNRJ0ifpJc9m_MkGCteYjQ-KrD5HwU7Ce6dEEhOdo4GoxD33aktztlOrun9APHaaY5iSRWWwVZMnUlIfnJ0VHOvYYd6asZotliHQOUQZkV5WixnCFkq_fwtL473NBvdQR6VtTwDQbY3Cig8o1n3C-nTw3lhEcCQXGs1AGl-RQseQabSJEKMTAGhpDeQiVKLcidPOzypzL5ydVnaRq7xpB-mm_sMAXoEzD3kfP6kzBBCotqhu2a9o-gyl7AStsMSxW7Ck1YFt41FqU0DtiZJVo_eiS28xFm5DvR2a5NJeNcCrxijLHHIjAaPqW0fDJoqQpWiJbpeOK5Cye4RXw&refId=Wrm2e9NJrlIW%2FqbgqG%2BHnw%3D%3D&trackingId=JC6IBbdjBreZXUEbyb3WEg%3D%3D&trk=flagship3_search_srp_jobs,Anthropologie Display Artist - Full-Time,$19.61/hr,"Anthropologie is hiring a Anthropologie Display Artist - Full-Time in Naples, FL. Required skills: Skills: Visual Merchandising, Art. This is a Full-time role. 25 people clicked apply. Salary: $19.61/hr.","Naples, FL",25 people clicked apply,"Skills: Visual Merchandising, Art",Anthropologie,Full-time,
1739843050-46,https://www.linkedin.com/jobs/search/?currentJobId=4153130378&distance=25.0&geoId=103644278&keywords=Fine%20Artist&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,Chalk/Sign ArtistChalk/Sign Artist,https://www.linkedin.com/jobs/view/4151609467/?eBP=CwEAAAGVFqqlSUUurAxCqXsPT3uw7VHA_kRC2NZL4_bg4n7c5WKPGuvFqvSY00B5YIryqsLBNiZZWXRgum7ID0nQwng30AT_wmqBmf43GTKHdZmUd05IkzOiWCPueFUOwFqBoDFcqWtslf9fIphxrTyry4iVJx9Oo6ZuDfXHth3kloI5dF8x1LZEEtF_U8MhPh15-4gxuA791FZcFySwbjRTaTKLyUT8TsGPAl81WEjm3mhvPG4DhrV7mdhZ9zGCOnxGVScmGDeMzB-HjBBeg5BOVyi-d08qsK0W4GsABRhkA7-zUM13D6TKBB8AAt6Mhzal-zVYgoYwtyFQU4GCpW_UtCoDKi8PTjE9MwIzfXVPGgKIxoYMUmxiRlfGiafHSs0DqbbHkOj4Dl2Z-cBn13sBM7ePCMWNsFJuCcZwHIM1yNc4mSIDCr4BMhMLWHGPubWHsD6XxkxI3oLsubAljDKyoWi9eJjC5FUZHOQYOgENZx1b1OcnTqPDWJ8Ou0QFY1FwiRgf&refId=Wrm2e9NJrlIW%2FqbgqG%2BHnw%3D%3D&trackingId=PqAxCgasqIjo54wQEZ6qHQ%3D%3D&trk=flagship3_search_srp_jobs,Chalk/Sign Artist,$53/hr,"Vintage Grocers Malibu is hiring a Chalk/Sign Artist in Malibu, CA. Required skills: Skills: Graphics, Graphic Arts. This is a Part-time role. 11 people clicked apply. Salary: $53/hr.","Malibu, CA",11 people clicked apply,"Skills: Graphics, Graphic Arts",Vintage Grocers Malibu,Part-time,
1739843070-47,https://www.linkedin.com/jobs/search/?currentJobId=4153130378&distance=25.0&geoId=103644278&keywords=Fine%20Artist&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,"Desktop Publisher (Must Have InDesign, Illustrator, FrameMaker & Typography)Desktop Publisher (Must Have InDesign, Illustrator, FrameMaker & Typography)",https://www.linkedin.com/jobs/view/3992715656/?eBP=CwEAAAGVFqqlSSXAKgHVXpFPv0nSqnl9vgcOyGYy5LpEMMFXjedTfy7IjLVFtNkyNpfvLqeI9rErL4RnqkY8ZGSL3eh12eXmkYjCGpcHW2d_NdL8q9mnIIbNzV4Go2VBjiTZ7k79UJXa0WYz33Z47wZFjO7E06eUluFPyeF74R3ZMuqkCxCkXH_UIS1YATaS1yb82NSuGSXzl0et5XpiaqUOu-g6wG6au1rPxqbVA8fujjKB_5HjElQyOTwEyRlelg4i-CVkF2590U8PAyK_J54QCrOHgGbGo6uDyc9tIlREn25M5EGRdBWXesKj0OJsROhoXTTDIDyA_ItjouGjvgD3ODgYzvGInZXVmY-NNu4ShQPVoCZ1WMWH5W3XUEVle3so2VfC981MEo8VUJztXzfOfilJFkou1Mo5Uwg04TPwiYhtTjjsp2rXFtjGq40m0K_4UlsknK9Yo6YBXAwhZXTwkQJXriqm678zIRGdPXrSQECF9aOGF43rP-GdH3Cn7Ow&refId=Wrm2e9NJrlIW%2FqbgqG%2BHnw%3D%3D&trackingId=gZU03t2FudwwVDIuxwNHFQ%3D%3D&trk=flagship3_search_srp_jobs,"Desktop Publisher (Must Have InDesign, Illustrator, FrameMaker & Typography)",$74/hr,"MillenniumSoft Inc is hiring a Desktop Publisher (Must Have InDesign, Illustrator, FrameMaker & Typography) in Sparks, MD. Required skills: Skills: Adobe InDesign, Adobe Illustrator. This is a Contract role. 56 people clicked apply. Salary: $74/hr.","Sparks, MD",56 people clicked apply,"Skills: Adobe InDesign, Adobe Illustrator",MillenniumSoft Inc,Contract,
1739843090-48,https://www.linkedin.com/jobs/search/?currentJobId=4153130378&distance=25.0&geoId=103644278&keywords=Fine%20Artist&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,"Portrait Artist - Shipboard 
    
    

Portrait Artist - Shipboard with verification",https://www.linkedin.com/jobs/view/4118003029/?eBP=CwEAAAGVFqqlSdmfQoE5VC0U3mbzaCQuNfcaPZVMR6cy67EyViSfUDXwS_iGIHtPv9Sah-XWhiJqIZP7bvVgm00T2pFsb5w5enhrvs18NjrB_tOzOaR-BxaekTSh4HonxR0baVz_Ke2X604UF8uZ64_V_vnGkYclkp0UZ6vfpNSy5wrtNJPwDJMOe3NeBZTFHQkHxh6q8MVi_74OZGbyIz2ouwrh0mAefupHfF1aoeULhs1vezXkhMlYZXtvo087MYReRN335cL94dHh_fTlAZstY6Ssc5xHlHWlRkOka1xYq9Xysox39k3JTRX3GlhNIS5XOHcN6bEi28o9IL3w1aboYLxgv12r6Dp0EpEo6lB24aF5hz0nKssWsn4WuvY0OD4gUSI2DrVkvX-Ij0YhN6GieHRn_sFLTL6NreCCupMkDVFqSNLbQhwEJ0uPGNTGxc4Nd5RmUfrG6thzTelbYxgechjcfuRD9AhnHxLl1MffyV-XLQ6WJswEGJgIgEzfn8B2z7Q3giTG-WIH2qTr&refId=Wrm2e9NJrlIW%2FqbgqG%2BHnw%3D%3D&trackingId=cJXzWwPP9nW1ufHh6qP5pw%3D%3D&trk=flagship3_search_srp_jobs,Portrait Artist - Shipboard,$38/hr,"Norwegian Cruise Line Holdings Ltd. is hiring a Portrait Artist - Shipboard in Miami, FL. Required skills: Skills: Photography, Cameras. This is a Full-time role. Over 100 people clicked apply. Salary: $38/hr.","Miami, FL",Over 100 people clicked apply,"Skills: Photography, Cameras",Norwegian Cruise Line Holdings Ltd.,Full-time,
1739843110-49,https://www.linkedin.com/jobs/search/?currentJobId=4153130378&distance=25.0&geoId=103644278&keywords=Fine%20Artist&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,Middle and Upper School Ceramics Teaching ArtistMiddle and Upper School Ceramics Teaching Artist,https://www.linkedin.com/jobs/view/4157438580/?eBP=CwEAAAGVFqqlSZ9jhIw4zpq0zfiQyDUA_tIQ_OAA4fL4xUq3FOMp7-syC-qTJDLre8Vqxw2djKUQYw13lbP3uj86TjVRMWCAT6mdj7mAdpqHYKFPdrQay5z9CDSNn7qU6YDQfDTwDX9bI3yWP9d48GSPm9bCrMT5GCDme-uJBubHvEFIlWjrdFksY76nOduE7tWg93XSytepY5GJWDgzpioF4CDmTfLhCVMISGlgh8SMwYqcNsug9V5ZEbBAJwn1ocx_GOHS3M2G_BFvGs09ePiDcl9z6xpepyzOiK-tsTJRJI1cakkFkJ9eXraw8o310ajHHi6tP4-f0J0Sd6-cW1z0xMghtwwJISXI7XzZ-Joy1ILxHEBui-fBx8IbN4s-C_ng02Cvn_c52SIG5sfdsYxhOHd1hLY26HNg2cIi4LUhNhr4lAErPE60lKM1uc_RQwackYEe8CJIJ_oQ7heP07pNHGNCh0_2HN_8GnllpJ-PoGRzWUPEd9Bg37QvW1uVNUg&refId=Wrm2e9NJrlIW%2FqbgqG%2BHnw%3D%3D&trackingId=CvRfqAGePFw7ThvU5rbfJw%3D%3D&trk=flagship3_search_srp_jobs,Middle and Upper School Ceramics Teaching Artist,$53/hr,"St. Stephen's Episcopal School is hiring a Middle and Upper School Ceramics Teaching Artist in Austin, TX. Required skills: Skills: Ceramic Art, Pottery. This is a Full-time role. 1 person clicked apply. Salary: $53/hr.","Austin, TX",1 person clicked apply,"Skills: Ceramic Art, Pottery",St. Stephen's Episcopal School,Full-time,
1739843131-50,https://www.linkedin.com/jobs/search/?currentJobId=4153130378&distance=25.0&geoId=103644278&keywords=Fine%20Artist&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,Sign Painter - Full TimeSign Painter - Full Time,https://www.linkedin.com/jobs/view/4153130378/?eBP=BUDGET_EXHAUSTED_JOB&refId=Wrm2e9NJrlIW%2FqbgqG%2BHnw%3D%3D&trackingId=yv3qeA%2BOJNmmtBqb5Fl7EA%3D%3D&trk=flagship3_search_srp_jobs,Sign Painter - Full Time,$77.77/hr,"Disneyland Resort is hiring a Sign Painter - Full Time in Anaheim, CA. Required skills: Skills: Color Theory, Painting. This is a On-site role. 82 people clicked apply. Salary: $77.77/hr.","Anaheim, CA",82 people clicked apply,"Skills: Color Theory, Painting",Disneyland Resort,On-site,
1739843609-4,https://www.linkedin.com/jobs/search/?currentJobId=4153489561&distance=25.0&geoId=103644278&keywords=Creative%20Director&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,"Flex Security Officer SwingGrave CD 
    
    

Flex Security Officer SwingGrave CD with verification",https://www.linkedin.com/jobs/view/4149395991/?eBP=CwEAAAGVFr_rkHMDq3hJjSMdh7nLaRhPrXddRUirVMlZc-Btp1FKrbD-1PsqVWFmbKl1ywYbCFJ73er0JWlSD4Y-DG8W3xKZszt8LQ4-S06QYFqOGuCH2HeS92s8MBAVIB3IKvD4FNfjU9OdcvLqMuo1GKfzaMKvcCaI7RmKC9uRVEGhJVt4quGaLB81wMUzILMgnGsDJ2xM0QrSnVOD1Ot60iplmQEwpGjuvMwqXZ8m1ZAYUy1sPfvIf_g8ZEEa8aQ0XjO9H8FCAkePgfARrI9wQXI3Qd_ijvj55Aaxow1IqQEKM-Hb3gWn9ues_6OAdO5HUi_y-iKgq5yrSTQnlau3qObNhEmeCYpRlLEGrh6gtHXs1S7VVCXiHjanX85KA4j9bsyEgCHtXg2M1mLl44AKauIXYEMxkSLIyK7Lw03JYyKrdSbKXLMAQpHRYC9OH-tI5K3opOf5STL4ey69nHhofScgN_2KF7qTzm6rhHlgyNJ7aL6XGNcfx1v46yx825U_fT_b2ZsV&refId=orxUUbx5bAIeWvJu9bEpsA%3D%3D&trackingId=ZZ0ktqiR7doctltqz%2B1V4A%3D%3D&trk=flagship3_search_srp_jobs,Flex Security Officer SwingGrave CD,$53/hr,"Securitas Security Services USA, Inc. is hiring a Flex Security Officer SwingGrave CD in San Francisco Bay Area. Required skills: Skills: Physical Security, Law Enforcement. This is a On-site role. 2 people clicked apply. Salary: $53/hr.",San Francisco Bay Area,2 people clicked apply,"Skills: Physical Security, Law Enforcement","Securitas Security Services USA, Inc.",On-site,
1739843629-5,https://www.linkedin.com/jobs/search/?currentJobId=4153489561&distance=25.0&geoId=103644278&keywords=Creative%20Director&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,Creative Arts DirectorCreative Arts Director,https://www.linkedin.com/jobs/view/4089850401/?eBP=CwEAAAGVFr_rkJ0V-Mum04w3YsGvjA4inuaIuXbyf8AT-6FOptHp1VAT6F5q4mTBW374EiuKT5tkTULkpNqNs65WQdY0Z3ruL9MpPgQH2p1lVTL16HABJfyF8xyd_7i7BtKoJK6kjm0-7u5tZ53pTf7P174E5wo1pVlV4pkkt_ojtSnMxkdKqeQ-Hn4wNrKrWV8nyRa2sOrqVpFIfOjBUOQYI6pGG702bcXqWKDCSOXNRXHF8tSiytVoga-_fKqtRSpYL1AeVPINafHQBx-AwqenqnzDU6pVtT4JGqPwQXnSrUIg2U-2HwEJRzu3HeLLX0nZVoQMxo6Y_Ma1o1rHIMpQ5XWGFX5XMX_Wnf8LJqFlTD6Kd9OK0AMC9MEndiW5_7xoCxMDQjxUowFBk_si5x15W_VC8qe_wlBWJMAz7ItKz_9d6JXsCR0Yfpz-SJXb2Cqliy7lOAsLEhDjgv__mTpi5eb55ORNyyC3JfKqBF9SQ4ksk3Qo-ewaq_krzD09&refId=orxUUbx5bAIeWvJu9bEpsA%3D%3D&trackingId=9hxd4vRkxKkNeDFd1Gyzrg%3D%3D&trk=flagship3_search_srp_jobs,Creative Arts Director,$74/hr,"Menlo School is hiring a Creative Arts Director in Atherton, CA. Required skills: Skills: Visual Arts, Creative Marketing. This is a On-site role. 52 people clicked apply. Salary: $74/hr.","Atherton, CA",52 people clicked apply,"Skills: Visual Arts, Creative Marketing",Menlo School,On-site,
1739843650-6,https://www.linkedin.com/jobs/search/?currentJobId=4153489561&distance=25.0&geoId=103644278&keywords=Creative%20Director&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,Inside Mortgage Sales - CD - RemoteInside Mortgage Sales - CD - Remote,https://www.linkedin.com/jobs/view/4060220539/?eBP=CwEAAAGVFr_rkMuFVEDVp_bSYFk8LhIiarlJT2jOQerm-i33SVI5lvDekw69d85Z4stpXjk6c9Srr9vBKu2eqpLhBIjDjjGXaOdK1ONhzE4T4kh0YOehOcwpRu1yHcznUyTAjZG00spBdJ5-H6MO68yrUDWo0iwl8Mj9zKeIR5FKUurbg0XUhMRMzQLSXhKacTmWCkyXhZ-71ubtY9dTwY0pRtJLWJpznj1CwUeISxjqRp5zG155TftouEhSvmMerjZX2RSinrNIZsGk4HXUy2q1m7pYRYbwQmx5cEL7zVyVoQN2bD6W7cwME9aZGSRX1VaKdE5WGoTRoxgkMMnxisXbMVck5rRX-5UH1oVytDhbqXhhwo3PLsmP7D6Mfn-4mta-qvm6lgPbo5sV0KenL1QUG7XHp0XkivmimytN7190iniascCYa5FnvBXxQ_sMhZqMJ5eP-pes5vgVjkVaxbxbEpratgG3coeeuldNJWOh0hkeE8jcRWbuJsW1_iI7&refId=orxUUbx5bAIeWvJu9bEpsA%3D%3D&trackingId=wlF0dElooq62EaSlfmlcog%3D%3D&trk=flagship3_search_srp_jobs,Inside Mortgage Sales - CD - Remote,$38/hr,"Towne Mortgage Company is hiring a Inside Mortgage Sales - CD - Remote in Troy, MI. Required skills: Skills: Mortgage Lending, Coaching. This is a Full-time role. 17 people clicked apply. Salary: $38/hr.","Troy, MI",17 people clicked apply,"Skills: Mortgage Lending, Coaching",Towne Mortgage Company,Full-time,
1739843670-7,https://www.linkedin.com/jobs/search/?currentJobId=4153489561&distance=25.0&geoId=103644278&keywords=Creative%20Director&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,3D Design Director3D Design Director,https://www.linkedin.com/jobs/view/4131893076/?eBP=CwEAAAGVFr_rkNwQE1_IynnCAvoOnS3Fu9DUAic_sOAeLoTUKhxOW8778pkEVw27E0tj6NIU9704W34Yu6WHNSHetNYf3SFS0tksJFRXa6DcggossRYkQmJgXz_uuCMMCLJkr7978mOQlgPyjGumyzoUX9waeUQs5GLyn0VnfCxtcUbkw0C2EP3N2P_quTVzEJIg-S5Vp_GVdCRAlQtw93y9yigjrskhF8NQzupDanaZKOxbua51j4x-q9l2BeObMZXr99m7G44OHKba_1MFZxXPAjVt-FXHNCs9yK_o8D9wGSifOzKgUuaErBjSU36E5rOvSiujP-F6jK4R4POIMKFWr2il3krM7WnUU2ZcPhfjFjLOnjRYn3Hm9IVlseGTkSfjWGEx2UnV20CV4KQJLYMJX4yIMRv762ZQ7rpx65Q3_4Nw6rVzF11SBl8fPGXW67PLSY5k4lYhVU3l_T5F7_LPlx4ZoG3NHdVc2WSyv4B9pGv6hXsAkcnfCjN6BWGGZ64&refId=orxUUbx5bAIeWvJu9bEpsA%3D%3D&trackingId=AVwZkWMzXIY6yTqBIaR0zw%3D%3D&trk=flagship3_search_srp_jobs,3D Design Director,$85/hr,"Olberding Brand Family is hiring a 3D Design Director in Columbus, OH. Required skills: Skills: Animation, Fine Art. This is a Full-time role. 7 people clicked apply. Salary: $85/hr.","Columbus, OH",7 people clicked apply,"Skills: Animation, Fine Art",Olberding Brand Family,Full-time,
1739843690-8,https://www.linkedin.com/jobs/search/?currentJobId=4153489561&distance=25.0&geoId=103644278&keywords=Creative%20Director&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,"Lead Art Director - Sports 
    
    

Lead Art Director - Sports with verification",https://www.linkedin.com/jobs/view/4093031607/?eBP=CwEAAAGVFr_rkIXlDtbD9q2Yh-dsUxeBd6lPA6TxFaTRv4sVjl8Kihj7mLRUtbv_3ot84I0dkN3yCEWojMwc-hFtmoEQqPOi_Ae5-jiW0QkYL2L-CurtqR2X9bDCEa_d42WWJH02WQV6NJQqThzMG6O-xJNiLtEjd7E37q-lsY2VxcqWkedvYoh-m86G696iCzKSSrUNMqBaXIWZd_fajj0FcezYeW4tPfMGuXmUavKaY6k9t0tNA3dyRBDrP3l6_uLSc8eWU-pyl4ksJM0OVcXxYVxy4QtqWkxRAgWMjDZ3Bc73_fMswn6bCoOGB8prCJBX_V7tAC5koWEe2FnBwwQf3YL4Pl2bJmy2eSsB_GNZuMWPnxuLHrrMcG1qdbUlXCOyv0--UYwKCgnOb-wsqISCJpd6TMBwYCYfoqu1JTxmHS_lXkoGGsZx4NltNeSm3LQnimoot7YTUKp-r4L7c9x4dDe9hq8KEHsmSEpf5PU-wKuRH_7ry1rsSbaVdNPlVPO-ntQcSZTxc1Q&refId=orxUUbx5bAIeWvJu9bEpsA%3D%3D&trackingId=vBzPr8GktdEZHTob0RwxwA%3D%3D&trk=flagship3_search_srp_jobs,Lead Art Director - Sports,$53/hr,"The E.W. Scripps Company is hiring a Lead Art Director - Sports in Atlanta, GA. Required skills: Skills: Attention to Detail, Presentation Skills. This is a Full-time role. Over 100 people clicked apply. Salary: $53/hr.","Atlanta, GA",Over 100 people clicked apply,"Skills: Attention to Detail, Presentation Skills",The E.W. Scripps Company,Full-time,
1739843711-9,https://www.linkedin.com/jobs/search/?currentJobId=4153489561&distance=25.0&geoId=103644278&keywords=Creative%20Director&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,"Art Director 
    
    

Art Director with verification",https://www.linkedin.com/jobs/view/4134015187/?eBP=CwEAAAGVFr_rj_520q5TCa_ioKELOgnexDkOptVnOjy-jxNJespvKj9gNMrBR0r3O7ZFRmeAffiSshKj3xY5GUHvR_vbaDbthuMHjMUSdonb_A0Xn5-iV9VNQE01OtwnbVIJZ7iCLzxBy9oUI4012QPJVhNO5fu2ztM5CzlrSLZKWGKxHGCNzif_h2ZfWl0carid6AVJGFCx387818pTCLCbWi5FFxBNyP4lWKUPShRLJZMSgD23tM7Vo2WjiCb9bjNNO39pOmJzjvLOEHeBxVWC_bbpZJF8xZcXg81j8XVM5ZrHL9-WVx4JsOYSoNgiBfxPJle_rDOctOV87sLzY_f9wc_jU_rCkiEsmfj-9cPEzM0SdSLiKwqFdOuVInrWlnR4oBMM_T5EWrlmnQREqKH0dBqre2POi5mwbOv5Gh7q3wHeGup8zgpceNy4zO1IUZHYUcGgHMqTkLbeHL9bEXaPfXY_aD5DdtwTRLAC3Jj6qXDg9uUSWWQXkqgtPZWSS0YvbxD8Bs9Q&refId=orxUUbx5bAIeWvJu9bEpsA%3D%3D&trackingId=7AsRKpmVRUunzeEUs8q4hg%3D%3D&trk=flagship3_search_srp_jobs,Art Director,$45.77/hr,"Pattern® is hiring a Art Director in Lehi, UT. Required skills: Skills: Graphics, Graphic Design. This is a Full-time role. 37 people clicked apply. Salary: $45.77/hr.","Lehi, UT",37 people clicked apply,"Skills: Graphics, Graphic Design",Pattern®,Full-time,
1739843852-16,https://www.linkedin.com/jobs/search/?currentJobId=4153489561&distance=25.0&geoId=103644278&keywords=Creative%20Director&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,Design DirectorDesign Director,https://www.linkedin.com/jobs/view/4147008173/?eBP=CwEAAAGVFsDcAJSXkzz3y07QGEkuJ-vVoA-3Nv6q5i51FxAQ1IaXZYCRmaXi6v__V7z3Mi6bazCD0y0VtPf5gto5iyWZmTPwHH9ncw46QX00Cs7Q4cpeyQPuOIMtUMJ2c4_lC6-Xxss0tTNX2h_Nmdp7E0_vy_6WYkKaHZ9TaGri7mGOuONfhq8fRAopO314CxhusKygEdkaK2YIIQSBtx-_KDpDQtc7G-noWr2k9EPsN8wYKHGOGp8RR8NnQNK5RcsS5nn5LF3wpVASIU5Z7FKMjyDUtOENqZd8fo2Haz_Aik4aOVIjibrNNlaQTznQ_laMd7uKoOQUm5zICAGhyc9gFQbmmdNbVZ38Lbf3ueIv8H4nVRcegmf8WHNybe62U-tsMLLvPdDQLLECdLqxGgf_RvJRQGLhi8AMUMsaSMZTngDF1D8sXB53Ps24NIfaJCyeOu2JPzhZ_cq5VfuRLrFcwAAGs5BTlv0I8sXyBZm2Qvf3yyCgmZbvIAJQ7dnaLA4&refId=Bep25zvlRIYNtw9J2H3kbg%3D%3D&trackingId=L3YkzTQI3whqt%2BsLcpujUw%3D%3D&trk=flagship3_search_srp_jobs,Design Director,$47/hr,"ProbablyMonsters is hiring a Design Director in Bellevue, WA. Required skills: Skills: Game Development, Presentations. This is a On-site role. 15 people clicked apply. Salary: $47/hr.","Bellevue, WA",15 people clicked apply,"Skills: Game Development, Presentations",ProbablyMonsters,On-site,
1739843872-17,https://www.linkedin.com/jobs/search/?currentJobId=4153489561&distance=25.0&geoId=103644278&keywords=Creative%20Director&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,"Creative Lead 
    
    

Creative Lead with verification",https://www.linkedin.com/jobs/view/4089004668/?eBP=CwEAAAGVFsDcAJzFNFUjUdQHJeqvmw21Dtrxchj48k415Gd9dqkfb_rd0jbXtPDNjIGH7I7FC3iy3p2znZtKxTBhKQmCYvyZjqWfYbgWBTprdnDZF9Xl7ulwf4Bm2tna4tdAVl5VX6YL3-4DtrpbplqITR1lJvrPtjfg-ikW9y0AHWKkTFVZwCu82LTVBfjq49_vFYVaVGEDBfBOEbFzSt8xqJLSWh6pkb0eIQ46YZb4A4DMbbhmRq-5JXpVe_ZxHwFHD7JUbPiw2X9x3MDkS-17RiaE6DZWEtCWfZOMLX-Ieu-MmHaIhjvyU784Q49xVJQFjLFa-bQNAYp4D35r1f5KOlEHUVsMl2Ph0m6kHAA0pYhCBZ2EcP7IhLWa1w-a7L7CN-6YrD71Pib2xBvGVeUANXiX9sv9HeDVsKfAGVBRsNDzmetCtTDBfzIJszm5tKGM0gre9B-hD0C9i_a4qgtI5xdCSBnCuiPUTN3rLImZ-YZ4e13fefYMa-bNUownqPTqSCmH9uYdPd8&refId=Bep25zvlRIYNtw9J2H3kbg%3D%3D&trackingId=%2FikcSHRShNvPFQUEjYKfWg%3D%3D&trk=flagship3_search_srp_jobs,Creative Lead,$74/hr,"Acrisure is hiring a Creative Lead in Austin, TX. Required skills: Skills: Photography, Presentation Skills. This is a Full-time role. Over 100 people clicked apply. Salary: $74/hr.","Austin, TX",Over 100 people clicked apply,"Skills: Photography, Presentation Skills",Acrisure,Full-time,
